"Month_Yr","AvDailyUse","SS","ROP"
"November 2016",1.76031285714286,18.0454317505836,19.8057446077265
"December 2016",1.86468904761905,23.3868795487563,25.2515685963753
"January 2017",1.19651047619048,14.2198002194599,15.4163106956503
"February 2017",0.864092380952381,13.4017406467667,14.2658330277191
"March 2017",1.46358238095238,8.66180724028013,10.1253896212325
"April 2017",1.10898666666667,9.91295717498724,11.0219438416539
"May 2017",1.34644761904762,9.98513890198958,11.3315865210372
"June 2017",2.1115919047619,10.2738658099989,12.3854577147608
"July 2017",1.80134238095238,16.337130878195,18.1384732591474
"August 2017",2.73286238095238,13.9070127357831,16.6398751167355
"September 2017",3.17746095238095,15.1822232461576,18.3596841985386
"October 2017",2.33634476190476,19.8740355013094,22.2103802632142
